control,ano,kilogram,categoria,subcategoria,tipo_estilo,origem,classificacao,total
brancas_rosadas_cardinal,1999,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_golden_queen,1999,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_patricia,1999,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_perlona,1999,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_italia,1999,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_rubi_italia_italia_ro,1999,0.0,brancas_rosadas,rosadas,,,,0
tintas,2000,13877.0,tintas,,,,,1
tintas_alphonse_lavallee,2000,0.0,tintas,alphonse,,,,0
tintas_mosem_classificacaoato_de_hamburgo,2000,13877.0,tintas,mosem,,,,0
brancas,2000,602113.0,brancas,,,,,1
brancas_rosadas_cardinal,2000,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_golden_queen,2000,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_patricia,2000,20515.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_perlona,2000,581598.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_italia,2000,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_rubi_italia_italia_ro,2000,0.0,brancas_rosadas,rosadas,,,,0
tintas,2001,23660.0,tintas,,,,,1
tintas_alphonse_lavallee,2001,3613.0,tintas,alphonse,,,,0
tintas_mosem_classificacaoato_de_hamburgo,2001,20047.0,tintas,mosem,,,,0
brancas,2001,118013.0,brancas,,,,,1
brancas_rosadas_cardinal,2001,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_golden_queen,2001,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_patricia,2001,23661.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_perlona,2001,94352.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_italia,2001,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_rubi_italia_italia_ro,2001,0.0,brancas_rosadas,rosadas,,,,0
tintas,2002,23239.0,tintas,,,,,1
tintas_alphonse_lavallee,2002,0.0,tintas,alphonse,,,,0
tintas_mosem_classificacaoato_de_hamburgo,2002,23239.0,tintas,mosem,,,,0
brancas,2002,100923.0,brancas,,,,,1
brancas_rosadas_cardinal,2002,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_golden_queen,2002,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_patricia,2002,42357.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_perlona,2002,58566.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_italia,2002,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_rubi_italia_italia_ro,2002,0.0,brancas_rosadas,rosadas,,,,0
tintas,2003,7366.0,tintas,,,,,1
tintas_alphonse_lavallee,2003,0.0,tintas,alphonse,,,,0
tintas_mosem_classificacaoato_de_hamburgo,2003,7366.0,tintas,mosem,,,,0
brancas,2003,136658.0,brancas,,,,,1
brancas_rosadas_cardinal,2003,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_golden_queen,2003,0.0,brancas_rosadas,rosadas,,,,0
